 2  10.000 -10.565
 2  12.500 -14.996
 2  15.000 -18.322
 2  17.500 -20.558
 2  20.000 -21.827
 2  22.500 -22.274
 2  25.000 -22.004
 2  27.500 -21.078
 2  30.000 -19.526
 2  32.500 -17.364
 2  35.000 -14.605
 2  37.500 -11.265
 2  40.000  -7.363
 4  10.000 -17.778
 4  12.500 -22.691
 4  15.000 -26.218
 4  17.500 -28.553
 4  20.000 -29.903
 4  22.500 -30.444
 4  25.000 -30.309
 4  27.500 -29.601
 4  30.000 -28.400
 4  32.500 -26.760
 4  35.000 -24.719
 4  37.500 -22.304
 4  40.000 -19.534
 6  10.000 -22.995
 6  12.500 -27.848
 6  15.000 -31.095
 6  17.500 -33.061
 6  20.000 -34.055
 6  22.500 -34.344
 6  25.000 -34.124
 6  27.500 -33.516
 6  30.000 -32.588
 6  32.500 -31.374
 6  35.000 -29.889
 6  37.500 -28.142
 6  40.000 -26.140
